County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Atlantic County, New Jersey",25228.0,379,,,4462.0,717,0.0,32,736.0,339,1532.0,545,5.0,8,0.0,32,41.0,40,0.0,32,,,63.0,72,58.0,89,3972.0,848,0.0,32,63.0,72,0.0,32,0.0,32,0.0,32,416.0,287,3553.0,886,0.0,32
"Atoka County, Oklahoma",178.0,23,,,15.0,23,0.0,16,25.0,49,19.0,31,0.0,16,0.0,16,0.0,16,0.0,16,,,102.0,76,0.0,16,5.0,7,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,12.0,20,0.0,16
"Attala County, Mississippi",69.0,60,,,27.0,39,0.0,22,16.0,24,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,7.0,12,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,19.0,47,0.0,22,0.0,22
"Audrain County, Missouri",224.0,18,,,34.0,54,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,33.0,43,122.0,82,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,35.0,50,0.0,22
"Audubon County, Iowa",3.0,9,,,0.0,15,0.0,15,0.0,15,3.0,9,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Auglaize County, Ohio",381.0,15,,,17.0,28,0.0,27,112.0,93,18.0,24,0.0,27,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,103.0,86,0.0,27,11.0,19,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27
"Augusta County, Virginia",791.0,90,,,130.0,122,0.0,31,55.0,110,30.0,35,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,0.0,31,99.0,100,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,23.0,31,38.0,43,0.0,31
"Aurora County, South Dakota",13.0,13,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,13.0,13,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Austin County, Texas",289.0,20,,,0.0,31,0.0,31,4.0,12,24.0,36,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,11.0,16,55.0,85,0.0,31
"Autauga County, Alabama",1104.0,146,,,199.0,218,0.0,31,233.0,220,160.0,130,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,0.0,31,305.0,189,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,36.0,60,0.0,31,0.0,31
