County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Chattooga County, Georgia",121.0,103,,,1.0,3,0.0,27,80.0,101,11.0,8,0.0,27,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,14.0,21,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,11.0,21,0.0,27
"Chautauqua County, Kansas",29.0,30,,,5.0,9,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Chautauqua County, New York",1349.0,197,,,479.0,155,0.0,31,28.0,32,85.0,50,0.0,31,0.0,31,13.0,24,0.0,31,,,0.0,31,16.0,22,240.0,95,3.0,6,44.0,72,5.0,8,0.0,31,0.0,31,11.0,11,138.0,71,0.0,31
"Chaves County, New Mexico",966.0,146,,,57.0,47,0.0,31,80.0,59,33.0,31,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,0.0,31,372.0,151,26.0,32,0.0,31,0.0,31,0.0,31,0.0,31,20.0,42,112.0,99,0.0,31
"Cheatham County, Tennessee",373.0,58,,,142.0,132,0.0,29,0.0,29,30.0,32,0.0,29,0.0,29,0.0,29,0.0,29,,,0.0,29,0.0,29,70.0,86,0.0,29,29.0,49,0.0,29,0.0,29,0.0,29,0.0,29,39.0,49,0.0,29
"Cheboygan County, Michigan",201.0,39,,,14.0,13,4.0,7,0.0,20,12.0,12,0.0,20,0.0,20,3.0,5,0.0,20,,,0.0,20,0.0,20,51.0,28,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,3.0,6,0.0,20,0.0,20
"Chelan County, Washington",1348.0,103,,,289.0,132,0.0,31,219.0,118,46.0,41,0.0,31,42.0,58,0.0,31,0.0,31,,,0.0,31,9.0,14,330.0,134,30.0,39,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,164.0,164,0.0,31
"Chemung County, New York",1801.0,59,,,572.0,186,0.0,31,134.0,91,159.0,80,0.0,31,0.0,31,22.0,42,0.0,31,,,0.0,31,0.0,31,150.0,79,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,44.0,57,16.0,19,0.0,31
"Chenango County, New York",455.0,41,,,80.0,59,0.0,28,16.0,17,20.0,23,0.0,28,0.0,28,4.0,5,0.0,28,,,0.0,28,0.0,28,154.0,71,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Cherokee County, Alabama",45.0,67,,,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,6.0,11,6.0,10,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,27.0,63,0.0,25
"Cherokee County, Georgia",8839.0,489,,,1329.0,420,0.0,34,810.0,358,706.0,291,0.0,34,0.0,34,90.0,81,0.0,34,,,0.0,34,422.0,359,1623.0,580,112.0,136,0.0,34,0.0,34,0.0,34,0.0,34,80.0,67,615.0,269,0.0,34
"Cherokee County, Iowa",111.0,6,,,4.0,10,0.0,16,103.0,18,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Cherokee County, Kansas",168.0,37,,,67.0,65,0.0,18,22.0,35,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,15.0,26,0.0,18
"Cherokee County, North Carolina",247.0,24,,,0.0,25,53.0,73,19.0,26,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,0.0,25,120.0,68,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,14.0,24,41.0,50,0.0,25
"Cherokee County, Oklahoma",806.0,100,,,122.0,60,24.0,19,17.0,25,38.0,34,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,220.0,105,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,81.0,44,130.0,79,0.0,22
"Cherokee County, South Carolina",624.0,134,,,235.0,161,0.0,33,0.0,33,105.0,102,0.0,33,0.0,33,0.0,33,0.0,33,,,0.0,33,4.0,9,39.0,63,31.0,46,0.0,33,0.0,33,0.0,33,0.0,33,31.0,46,84.0,126,0.0,33
"Cherokee County, Texas",432.0,81,,,32.0,41,0.0,35,2.0,5,6.0,14,0.0,35,0.0,35,12.0,19,0.0,35,,,0.0,35,0.0,35,298.0,102,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,72.0,71,0.0,35
"Cherry County, Nebraska",82.0,54,,,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,2.0,3,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,63.0,51,0.0,15
"Chesapeake city, Virginia",13931.0,592,,,1585.0,520,50.0,99,783.0,293,1410.0,533,0.0,31,0.0,31,76.0,76,19.0,31,,,0.0,31,62.0,76,6619.0,826,79.0,68,19.0,32,0.0,31,0.0,31,0.0,31,308.0,169,1211.0,498,0.0,31
"Cheshire County, New Hampshire",1616.0,18,,,354.0,185,0.0,29,82.0,50,76.0,55,0.0,29,0.0,29,15.0,24,0.0,29,,,0.0,29,82.0,121,360.0,170,5.0,9,77.0,93,0.0,29,0.0,29,0.0,29,4.0,10,78.0,69,0.0,29
"Chester County, Pennsylvania",42005.0,895,,,7914.0,1007,0.0,27,1384.0,585,3018.0,560,34.0,43,25.0,30,367.0,194,0.0,27,,,0.0,27,405.0,256,3261.0,822,95.0,70,17.0,27,9.0,15,0.0,27,38.0,43,302.0,181,2246.0,595,4.0,7
"Chester County, South Carolina",232.0,14,,,21.0,41,0.0,30,16.0,32,14.0,23,0.0,30,0.0,30,0.0,30,0.0,30,,,0.0,30,9.0,14,38.0,82,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,126.0,87,0.0,30
"Chester County, Tennessee",77.0,80,,,2.0,6,0.0,21,0.0,21,10.0,14,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,47.0,68,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,13.0,28,0.0,21,0.0,21
"Chesterfield County, South Carolina",346.0,9,,,13.0,16,0.0,30,24.0,39,30.0,30,0.0,30,0.0,30,0.0,30,0.0,30,,,0.0,30,0.0,30,153.0,71,0.0,30,38.0,52,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30
"Chesterfield County, Virginia",17436.0,400,,,2240.0,580,0.0,31,999.0,328,2362.0,591,0.0,31,0.0,31,129.0,111,0.0,31,,,31.0,54,878.0,383,3888.0,731,5.0,8,102.0,105,0.0,31,0.0,31,0.0,31,451.0,256,1190.0,394,0.0,31
"Cheyenne County, Colorado",9.0,9,,,0.0,13,0.0,13,0.0,13,5.0,8,0.0,13,0.0,13,0.0,13,0.0,13,,,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13
"Cheyenne County, Kansas",14.0,22,,,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Cheyenne County, Nebraska",94.0,62,,,0.0,15,0.0,15,10.0,20,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,63.0,57,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Chickasaw County, Iowa",28.0,31,,,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,28.0,31,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Chickasaw County, Mississippi",127.0,124,,,54.0,89,0.0,22,61.0,93,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,12.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22
"Chicot County, Arkansas",51.0,67,,,8.0,14,0.0,18,7.0,11,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,36.0,64,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18
"Childress County, Texas",8.0,20,,,0.0,21,0.0,21,0.0,21,8.0,20,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Chilton County, Alabama",260.0,8,,,41.0,67,0.0,28,56.0,79,54.0,59,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Chippewa County, Michigan",645.0,89,,,171.0,103,0.0,23,48.0,35,13.0,12,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,2.0,7,161.0,88,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,3.0,6,113.0,79,0.0,23
"Chippewa County, Minnesota",195.0,9,,,12.0,12,1.0,3,13.0,25,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,15.0,20,0.0,15,22.0,32,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Chippewa County, Wisconsin",1391.0,150,,,114.0,96,612.0,145,95.0,97,64.0,40,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,297.0,119,57.0,98,3.0,5,36.0,53,0.0,23,0.0,23,7.0,8,19.0,21,0.0,23
"Chisago County, Minnesota",1362.0,62,,,214.0,130,339.0,237,141.0,102,92.0,49,0.0,22,0.0,22,12.0,18,0.0,22,,,48.0,45,4.0,5,183.0,139,6.0,8,85.0,72,0.0,22,0.0,22,0.0,22,30.0,34,55.0,50,0.0,22
"Chittenden County, Vermont",9889.0,146,,,1758.0,405,0.0,24,451.0,205,751.0,308,0.0,24,0.0,24,76.0,60,0.0,24,,,433.0,382,62.0,99,1252.0,411,163.0,136,54.0,81,0.0,24,0.0,24,17.0,26,136.0,113,754.0,307,0.0,24
"Choctaw County, Alabama",98.0,76,,,4.0,6,0.0,21,0.0,21,34.0,49,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Choctaw County, Mississippi",53.0,62,,,0.0,20,0.0,20,9.0,16,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,44.0,60,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Choctaw County, Oklahoma",152.0,12,,,12.0,13,44.0,37,4.0,6,13.0,14,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,53.0,38,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,12.0,15,0.0,16,0.0,16
"Chouteau County, Montana",44.0,3,,,3.0,6,0.0,15,0.0,15,8.0,10,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,33.0,12,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Chowan County, North Carolina",29.0,43,,,8.0,15,0.0,21,0.0,21,21.0,40,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Christian County, Illinois",289.0,26,,,12.0,18,0.0,26,46.0,38,31.0,39,0.0,26,0.0,26,4.0,6,0.0,26,,,0.0,26,21.0,34,1.0,4,0.0,26,14.0,17,0.0,26,0.0,26,0.0,26,0.0,26,51.0,51,0.0,26
"Christian County, Kentucky",1686.0,141,,,78.0,109,0.0,30,309.0,216,146.0,112,0.0,30,15.0,18,0.0,30,0.0,30,,,0.0,30,0.0,30,342.0,197,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,67.0,70,224.0,171,0.0,30
"Christian County, Missouri",1201.0,79,,,77.0,85,0.0,28,157.0,140,200.0,145,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,367.0,207,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,236.0,240,0.0,28
"Chugach Census Area, Alaska",625.0,20,,,17.0,23,0.0,15,18.0,30,0.0,15,0.0,15,0.0,15,39.0,82,0.0,15,,,0.0,15,0.0,15,337.0,105,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,34.0,50,180.0,126,0.0,15
"Churchill County, Nevada",1217.0,135,,,18.0,19,0.0,26,153.0,125,3.0,7,0.0,26,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,965.0,188,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,18.0,29,52.0,80,0.0,26
"Ciales Municipio, Puerto Rico",121.0,138,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Cibola County, New Mexico",236.0,36,,,28.0,26,0.0,25,8.0,18,8.0,14,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,0.0,25,88.0,67,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,59.0,69,0.0,25
"Cidra Municipio, Puerto Rico",81.0,97,,,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,,,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32
"Cimarron County, Oklahoma",0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Citrus County, Florida",4132.0,554,,,287.0,125,72.0,124,597.0,306,244.0,160,0.0,35,0.0,35,0.0,35,0.0,35,,,0.0,35,0.0,35,1666.0,321,0.0,35,75.0,127,0.0,35,0.0,35,0.0,35,101.0,99,154.0,130,0.0,35
"Clackamas County, Oregon",32513.0,691,,,8119.0,883,378.0,268,4176.0,689,3671.0,680,24.0,37,115.0,127,399.0,146,0.0,31,,,222.0,229,272.0,151,4666.0,871,369.0,214,972.0,418,52.0,76,162.0,144,3.0,6,696.0,259,4389.0,721,0.0,31
"Claiborne County, Mississippi",130.0,136,,,0.0,20,0.0,20,73.0,109,48.0,80,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Claiborne County, Tennessee",562.0,162,,,70.0,77,0.0,29,40.0,55,155.0,101,0.0,29,0.0,29,0.0,29,0.0,29,,,0.0,29,0.0,29,32.0,46,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,170.0,91,0.0,29
"Claiborne Parish, Louisiana",20.0,36,,,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,0.0,22,0.0,22,20.0,36,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22
"Clallam County, Washington",2663.0,206,,,385.0,155,0.0,31,655.0,242,185.0,130,0.0,31,8.0,13,0.0,31,0.0,31,,,67.0,77,13.0,16,737.0,221,40.0,54,41.0,66,0.0,31,141.0,155,0.0,31,48.0,46,78.0,57,0.0,31
"Clare County, Michigan",142.0,23,,,54.0,50,0.0,23,7.0,8,10.0,17,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,54.0,47,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23
"Clarendon County, South Carolina",299.0,15,,,43.0,44,0.0,30,9.0,13,45.0,52,0.0,30,0.0,30,0.0,30,0.0,30,,,0.0,30,0.0,30,14.0,21,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,87.0,79,0.0,30
"Clarion County, Pennsylvania",375.0,19,,,73.0,86,0.0,24,0.0,24,20.0,29,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,125.0,97,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,126.0,88,9.0,13,0.0,24
"Clark County, Arkansas",154.0,85,,,62.0,56,0.0,24,41.0,60,3.0,6,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,5.0,10,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,9.0,14,0.0,24
"Clark County, Idaho",3.0,5,,,0.0,12,0.0,12,3.0,5,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,,,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12
"Clark County, Illinois",35.0,29,,,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,,,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,15.0,24,1.0,6,0.0,19
"Clark County, Indiana",2137.0,154,,,564.0,175,0.0,30,140.0,90,179.0,118,64.0,64,0.0,30,16.0,28,0.0,30,,,0.0,30,33.0,37,352.0,188,0.0,30,10.0,16,0.0,30,0.0,30,0.0,30,10.0,16,150.0,130,0.0,30
"Clark County, Kansas",38.0,27,,,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,0.0,11,24.0,23,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Clark County, Kentucky",348.0,28,,,92.0,114,0.0,27,0.0,27,13.0,18,20.0,28,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,147.0,120,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27
"Clark County, Missouri",29.0,30,,,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,,,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,4.0,8,0.0,17
"Clark County, Nevada",331357.0,3475,,,54041.0,2965,522.0,327,28856.0,2167,21860.0,2298,296.0,302,187.0,128,2506.0,534,0.0,33,,,348.0,330,2697.0,744,162802.0,4588,2030.0,472,3611.0,957,332.0,150,209.0,327,47.0,64,8614.0,1049,16147.0,1733,0.0,33
"Clark County, Ohio",1750.0,168,,,172.0,117,0.0,30,239.0,122,206.0,128,0.0,30,0.0,30,12.0,21,0.0,30,,,52.0,79,0.0,30,384.0,210,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,80.0,63,63.0,57,0.0,30
"Clark County, South Dakota",28.0,47,,,19.0,49,0.0,10,0.0,10,9.0,14,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Clark County, Washington",39524.0,959,,,7808.0,985,926.0,473,4198.0,753,3624.0,555,6.0,10,47.0,72,990.0,365,23.0,36,,,188.0,128,1322.0,425,7973.0,1019,510.0,185,1081.0,408,328.0,194,329.0,274,37.0,45,585.0,193,4911.0,816,0.0,31
"Clark County, Wisconsin",268.0,14,,,1.0,2,28.0,32,42.0,29,32.0,25,1.0,2,0.0,21,0.0,21,0.0,21,,,17.0,23,0.0,21,120.0,43,8.0,10,0.0,21,0.0,21,0.0,21,0.0,21,8.0,8,2.0,3,0.0,21
"Clarke County, Alabama",134.0,10,,,45.0,33,0.0,25,6.0,10,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,0.0,25,63.0,46,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25
"Clarke County, Georgia",6629.0,325,,,1514.0,336,92.0,102,190.0,104,882.0,296,0.0,34,0.0,34,50.0,51,0.0,34,,,572.0,365,7.0,10,544.0,262,13.0,19,86.0,68,40.0,59,0.0,34,0.0,34,87.0,70,461.0,229,0.0,34
"Clarke County, Iowa",104.0,2,,,0.0,15,0.0,15,9.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,25.0,36,0.0,15,39.0,43,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Clarke County, Mississippi",41.0,44,,,3.0,6,0.0,22,0.0,22,9.0,15,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22
"Clarke County, Virginia",291.0,47,,,32.0,38,0.0,21,46.0,56,37.0,50,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,97.0,91,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Clatsop County, Oregon",1299.0,216,,,181.0,120,0.0,28,149.0,117,105.0,72,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,550.0,228,11.0,17,0.0,28,0.0,28,0.0,28,0.0,28,90.0,78,104.0,67,0.0,28
"Clay County, Alabama",116.0,67,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,,,41.0,29,0.0,21,60.0,76,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,4.0,10,0.0,21
"Clay County, Arkansas",74.0,60,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,7.0,10,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,3.0,5,0.0,20
"Clay County, Florida",10140.0,475,,,859.0,382,0.0,35,952.0,305,366.0,186,44.0,79,0.0,35,23.0,44,0.0,35,,,56.0,87,18.0,35,6221.0,749,35.0,44,0.0,35,156.0,207,0.0,35,0.0,35,184.0,144,387.0,261,0.0,35
"Clay County, Georgia",0.0,14,,,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,,,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14
"Clay County, Illinois",41.0,34,,,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,6.0,11,0.0,19,,,0.0,19,0.0,19,24.0,28,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,9.0,16,0.0,19
"Clay County, Indiana",176.0,132,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,40.0,39,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,23.0,33,0.0,24
"Clay County, Iowa",157.0,16,,,4.0,7,0.0,16,0.0,16,80.0,52,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,63.0,53,0.0,16,10.0,19,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Clay County, Kansas",73.0,4,,,12.0,12,5.0,8,30.0,17,3.0,9,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,1.0,4,0.0,16,15.0,18,0.0,16,0.0,16,0.0,16,0.0,16,2.0,5,0.0,16
"Clay County, Kentucky",24.0,39,,,18.0,37,0.0,24,6.0,10,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Clay County, Minnesota",1507.0,104,,,34.0,23,235.0,212,46.0,49,77.0,64,24.0,44,0.0,22,2.0,3,0.0,22,,,0.0,22,1.0,3,277.0,155,0.0,22,16.0,31,0.0,22,0.0,22,0.0,22,8.0,14,415.0,217,0.0,22
"Clay County, Mississippi",65.0,75,,,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,13.0,21,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22
"Clay County, Missouri",9404.0,467,,,982.0,320,0.0,28,845.0,351,427.0,195,27.0,37,0.0,28,80.0,77,0.0,28,,,0.0,28,367.0,221,1020.0,292,20.0,23,30.0,53,69.0,122,0.0,28,0.0,28,93.0,97,2738.0,608,0.0,28
"Clay County, Nebraska",12.0,12,,,3.0,4,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,1.0,3,0.0,15,6.0,8,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,1.0,2,0.0,15,0.0,15
"Clay County, North Carolina",90.0,95,,,11.0,14,0.0,21,0.0,21,10.0,13,0.0,21,0.0,21,0.0,21,0.0,21,,,68.0,94,0.0,21,1.0,3,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Clay County, South Dakota",501.0,55,,,173.0,145,0.0,16,0.0,16,16.0,24,0.0,16,0.0,16,0.0,16,0.0,16,,,14.0,27,0.0,16,3.0,7,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,91.0,124,0.0,16
"Clay County, Tennessee",83.0,68,,,2.0,3,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,,,0.0,19,0.0,19,81.0,69,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
"Clay County, Texas",114.0,23,,,17.0,26,0.0,23,11.0,18,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,84.0,32,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,2.0,4,0.0,23,0.0,23
"Clay County, West Virginia",63.0,63,,,0.0,18,0.0,18,63.0,63,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18
"Clayton County, Georgia",17828.0,827,,,1302.0,523,0.0,34,386.0,224,422.0,298,0.0,34,0.0,34,0.0,34,0.0,34,,,4.0,12,982.0,528,1283.0,455,49.0,83,1107.0,393,25.0,34,0.0,34,0.0,34,280.0,196,9929.0,999,0.0,34
