County,B02018_002E,B02018_002M,B02018_003E,B02018_003M,B02018_004E,B02018_004M,B02018_005E,B02018_005M,B02018_006E,B02018_006M,B02018_007E,B02018_007M,B02018_008E,B02018_008M,B02018_009E,B02018_009M,B02018_011E,B02018_011M,B02018_012E,B02018_012M,B02018_013E,B02018_013M,B02018_014E,B02018_014M,B02018_015E,B02018_015M,B02018_016E,B02018_016M,B02018_017E,B02018_017M,B02018_018E,B02018_018M,B02018_019E,B02018_019M,B02018_020E,B02018_020M,B02018_021E,B02018_021M
"Abbeville County, South Carolina",0.0,26,0.0,26,5.0,10,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,4.0,7,2.0,6,0.0,26
"Acadia Parish, Louisiana",40.0,47,0.0,33,38.0,50,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,21.0,28,84.0,79,21.0,36,0.0,33,0.0,33,0.0,33,0.0,33,39.0,34,0.0,33
"Accomack County, Virginia",53.0,37,0.0,28,0.0,28,4.0,11,0.0,28,0.0,28,118.0,92,0.0,28,0.0,28,0.0,28,73.0,69,35.0,81,4.0,10,0.0,28,0.0,28,0.0,28,11.0,21,14.0,24,0.0,28
"Ada County, Idaho",3920.0,686,9.0,15,5234.0,860,2733.0,516,12.0,20,27.0,37,178.0,132,0.0,29,159.0,142,99.0,71,4485.0,893,242.0,176,897.0,444,66.0,67,0.0,29,40.0,41,571.0,302,1416.0,363,72.0,99
"Adair County, Iowa",0.0,15,0.0,15,5.0,9,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,41.0,38,3.0,6,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Adair County, Kentucky",0.0,20,0.0,20,0.0,20,19.0,24,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,27.0,41,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Adair County, Missouri",241.0,127,0.0,22,43.0,53,177.0,144,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,119.0,77,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,81.0,68,0.0,22
"Adair County, Oklahoma",23.0,29,134.0,66,0.0,16,2.0,4,0.0,16,0.0,16,0.0,16,9.0,13,0.0,16,0.0,16,7.0,9,0.0,16,1.0,3,0.0,16,0.0,16,0.0,16,0.0,16,93.0,68,0.0,16
"Adams County, Colorado",4303.0,739,2517.0,874,2206.0,520,2476.0,516,0.0,31,0.0,31,131.0,103,0.0,31,1283.0,519,649.0,335,4119.0,881,357.0,204,600.0,324,35.0,30,0.0,31,0.0,31,594.0,277,5449.0,895,0.0,31
"Adams County, Idaho",0.0,12,0.0,12,3.0,5,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12
"Adams County, Illinois",80.0,59,0.0,29,40.0,31,103.0,78,0.0,29,0.0,29,6.0,9,0.0,29,0.0,29,0.0,29,375.0,187,14.0,30,23.0,32,0.0,29,0.0,29,0.0,29,11.0,21,115.0,134,0.0,29
"Adams County, Indiana",1.0,3,0.0,27,20.0,31,103.0,74,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,9.0,21,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,45.0,66,0.0,27
"Adams County, Iowa",4.0,7,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Adams County, Mississippi",139.0,183,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,8.0,13,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26
"Adams County, Nebraska",37.0,39,0.0,22,58.0,47,33.0,26,0.0,22,0.0,22,0.0,22,0.0,22,12.0,19,0.0,22,65.0,77,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,12.0,23,209.0,121,0.0,22
"Adams County, North Dakota",10.0,13,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,5.0,8,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Adams County, Ohio",0.0,24,0.0,24,0.0,24,1.0,3,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,44.0,45,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Adams County, Pennsylvania",303.0,92,0.0,27,49.0,49,53.0,42,0.0,27,0.0,27,4.0,6,0.0,27,0.0,27,0.0,27,252.0,99,35.0,55,0.0,27,0.0,27,0.0,27,0.0,27,27.0,31,177.0,96,0.0,27
"Adams County, Washington",16.0,28,0.0,25,1.0,9,54.0,75,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,118.0,126,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,51.0,47,0.0,25
"Adams County, Wisconsin",9.0,11,28.0,32,6.0,8,2.0,4,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,25.0,26,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,13.0,16,74.0,44,0.0,18
"Addison County, Vermont",452.0,108,0.0,22,131.0,79,114.0,71,0.0,22,0.0,22,20.0,25,0.0,22,0.0,22,0.0,22,142.0,70,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,42.0,56,76.0,49,0.0,22
"Adjuntas Municipio, Puerto Rico",0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Aguada Municipio, Puerto Rico",18.0,28,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32
"Aguadilla Municipio, Puerto Rico",8.0,13,0.0,35,0.0,35,18.0,29,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35
"Aguas Buenas Municipio, Puerto Rico",0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Aibonito Municipio, Puerto Rico",0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Aiken County, South Carolina",353.0,199,6.0,11,917.0,571,152.0,94,0.0,33,0.0,33,92.0,101,0.0,33,0.0,33,0.0,33,383.0,199,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,84.0,97,421.0,262,0.0,33
"Aitkin County, Minnesota",5.0,6,0.0,15,18.0,15,27.0,18,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,5.0,4,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,10.0,8,3.0,5,0.0,15
"Alachua County, Florida",5223.0,933,0.0,35,878.0,347,1875.0,546,0.0,35,0.0,35,258.0,190,0.0,35,0.0,35,41.0,46,4260.0,810,305.0,244,28.0,42,38.0,66,0.0,35,0.0,35,18.0,29,1578.0,487,0.0,35
"Alamance County, North Carolina",514.0,209,22.0,38,146.0,99,468.0,215,0.0,32,0.0,32,36.0,47,0.0,32,195.0,167,2.0,4,326.0,210,16.0,24,170.0,204,41.0,65,0.0,32,0.0,32,175.0,122,348.0,221,0.0,32
"Alameda County, California",198692.0,4667,1143.0,457,24822.0,1531,24205.0,1619,1668.0,560,92.0,62,10712.0,1083,10.0,19,4178.0,869,5857.0,1336,109583.0,3686,3071.0,833,2936.0,648,966.0,361,1616.0,633,510.0,218,3187.0,596,42076.0,3000,29.0,31
"Alamosa County, Colorado",23.0,37,0.0,21,22.0,38,56.0,59,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,33.0,36,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,20.0,32,18.0,39,0.0,21
"Albany County, New York",4671.0,661,0.0,31,832.0,294,2010.0,618,22.0,35,0.0,31,293.0,211,0.0,31,1018.0,419,259.0,194,3058.0,650,73.0,51,0.0,31,157.0,168,0.0,31,0.0,31,458.0,311,1347.0,453,0.0,31
"Albany County, Wyoming",609.0,189,0.0,27,118.0,84,123.0,96,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,84.0,59,2.0,4,0.0,27,52.0,55,0.0,27,0.0,27,97.0,86,32.0,33,0.0,27
"Albemarle County, Virginia",1441.0,343,0.0,31,465.0,208,1145.0,330,0.0,31,0.0,31,23.0,21,0.0,31,0.0,31,67.0,77,730.0,278,34.0,40,0.0,31,19.0,31,0.0,31,22.0,25,50.0,58,464.0,253,5.0,12
"Alcona County, Michigan",0.0,17,0.0,17,11.0,9,23.0,22,1.0,3,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,26.0,19,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17
"Alcorn County, Mississippi",2.0,4,0.0,30,9.0,15,13.0,24,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,20.0,34,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,18.0,23,0.0,30
"Aleutians East Borough, Alaska",13.0,15,0.0,10,22.0,28,38.0,30,23.0,35,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,708.0,175,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,38.0,54,0.0,10
"Aleutians West Census Area, Alaska",79.0,86,6.0,8,49.0,42,26.0,17,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,2130.0,161,4.0,5,3.0,5,0.0,15,0.0,15,0.0,15,45.0,43,136.0,57,0.0,15
"Alexander County, Illinois",7.0,10,0.0,17,2.0,3,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,15.0,20,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17
"Alexander County, North Carolina",197.0,159,52.0,78,29.0,37,23.0,40,0.0,29,29.0,49,0.0,29,0.0,29,0.0,29,0.0,29,42.0,89,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29
"Alexandria city, Virginia",1742.0,373,15.0,23,898.0,260,1613.0,318,74.0,107,0.0,31,155.0,83,0.0,31,0.0,31,66.0,65,2169.0,473,43.0,38,89.0,66,8.0,12,0.0,31,0.0,31,235.0,109,592.0,189,0.0,31
"Alfalfa County, Oklahoma",28.0,22,0.0,15,1.0,3,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,1.0,2,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,12.0,18,0.0,15
"Alger County, Michigan",30.0,27,0.0,15,7.0,13,11.0,16,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,11.0,16,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Allamakee County, Iowa",67.0,65,0.0,16,19.0,30,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,16.0,33,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Allegan County, Michigan",204.0,94,0.0,26,194.0,118,149.0,105,5.0,8,0.0,26,0.0,26,0.0,26,0.0,26,191.0,161,249.0,102,6.0,10,111.0,78,0.0,26,0.0,26,0.0,26,75.0,55,110.0,90,0.0,26
"Allegany County, Maryland",280.0,127,0.0,32,31.0,32,61.0,39,0.0,32,0.0,32,19.0,31,0.0,32,0.0,32,0.0,32,222.0,109,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,7.0,11,150.0,115,0.0,32
"Allegany County, New York",233.0,72,0.0,28,69.0,28,90.0,67,0.0,28,0.0,28,21.0,23,0.0,28,5.0,11,4.0,7,114.0,76,0.0,28,0.0,28,10.0,11,0.0,28,0.0,28,5.0,5,61.0,46,0.0,28
"Alleghany County, North Carolina",0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,57.0,77,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Alleghany County, Virginia",6.0,13,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,97.0,106,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Allegheny County, Pennsylvania",14459.0,1138,9.0,15,2696.0,538,4531.0,673,68.0,47,0.0,27,696.0,270,6.0,9,363.0,207,88.0,69,4173.0,677,276.0,169,100.0,105,154.0,114,0.0,27,11.0,27,800.0,281,2929.0,624,3.0,7
"Allen County, Indiana",1718.0,580,0.0,30,691.0,276,1421.0,532,0.0,30,0.0,30,129.0,80,0.0,30,9102.0,1056,53.0,76,2180.0,589,20.0,31,339.0,203,310.0,294,0.0,30,9.0,15,761.0,377,1901.0,567,0.0,30
"Allen County, Kansas",52.0,65,0.0,18,5.0,9,30.0,37,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,3.0,5,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18
"Allen County, Kentucky",0.0,24,0.0,24,4.0,8,5.0,11,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Allen County, Ohio",247.0,141,0.0,30,68.0,52,72.0,70,0.0,30,0.0,30,84.0,89,0.0,30,0.0,30,0.0,30,232.0,101,0.0,30,12.0,16,0.0,30,0.0,30,0.0,30,36.0,52,125.0,157,0.0,30
"Allen Parish, Louisiana",2.0,6,0.0,26,106.0,48,4.0,9,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,5.0,9,0.0,26,0.0,26
"Allendale County, South Carolina",0.0,20,0.0,20,6.0,15,5.0,13,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,3.0,7,311.0,220,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,39.0,74,0.0,20,0.0,20
"Alpena County, Michigan",3.0,6,0.0,20,7.0,10,15.0,27,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,3.0,7,119.0,66,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Alpine County, California",0.0,14,0.0,14,3.0,4,5.0,7,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,1.0,2,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14
"Amador County, California",261.0,133,6.0,10,230.0,169,83.0,59,0.0,29,14.0,21,0.0,29,0.0,29,0.0,29,87.0,111,804.0,308,23.0,30,0.0,29,0.0,29,11.0,21,0.0,29,0.0,29,245.0,165,0.0,29
"Amelia County, Virginia",0.0,21,0.0,21,0.0,21,11.0,22,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,1.0,3,0.0,21
"Amherst County, Virginia",24.0,33,0.0,28,10.0,19,13.0,24,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,90.0,82,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,15.0,25,10.0,19,0.0,28
"Amite County, Mississippi",0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,4.0,7,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,7.0,14,0.0,22,0.0,22
"Anchorage Municipality, Alaska",2545.0,855,4892.0,1366,2734.0,738,4242.0,832,0.0,24,85.0,124,110.0,89,11.0,17,17.0,29,319.0,316,19202.0,1784,157.0,137,1077.0,545,58.0,74,74.0,86,17.0,30,917.0,328,1010.0,437,0.0,24
"Anderson County, Kansas",0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Anderson County, Kentucky",31.0,60,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Anderson County, South Carolina",743.0,319,0.0,33,144.0,118,257.0,146,0.0,33,0.0,33,85.0,109,0.0,33,0.0,33,74.0,89,464.0,210,14.0,23,5.0,10,0.0,33,0.0,33,0.0,33,60.0,64,242.0,177,0.0,33
"Anderson County, Tennessee",551.0,193,0.0,32,47.0,77,198.0,160,0.0,32,0.0,32,25.0,40,0.0,32,0.0,32,29.0,62,301.0,185,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,77.0,72,39.0,57,0.0,32
"Anderson County, Texas",3.0,6,0.0,35,19.0,23,15.0,20,0.0,35,0.0,35,14.0,24,0.0,35,15.0,32,0.0,35,296.0,127,0.0,35,8.0,16,0.0,35,0.0,35,0.0,35,22.0,30,133.0,116,0.0,35
"Andrew County, Missouri",3.0,5,31.0,41,21.0,22,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,34.0,47,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,11.0,20,0.0,19,0.0,19
"Andrews County, Texas",11.0,16,0.0,23,0.0,23,12.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,72.0,51,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,15.0,47,0.0,23
"Androscoggin County, Maine",452.0,188,0.0,26,121.0,98,321.0,220,0.0,26,0.0,26,40.0,70,0.0,26,0.0,26,0.0,26,554.0,229,0.0,26,41.0,61,0.0,26,0.0,26,0.0,26,48.0,37,128.0,115,0.0,26
"Angelina County, Texas",294.0,159,11.0,20,126.0,129,20.0,28,0.0,35,53.0,81,0.0,35,0.0,35,0.0,35,123.0,180,292.0,163,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,54.0,62,207.0,129,0.0,35
"Anne Arundel County, Maryland",4522.0,946,60.0,64,2049.0,435,5010.0,828,38.0,78,25.0,35,185.0,117,0.0,32,428.0,295,83.0,94,10393.0,1082,35.0,46,110.0,94,0.0,32,0.0,32,0.0,32,825.0,401,1938.0,504,0.0,32
"Anoka County, Minnesota",1683.0,395,9977.0,1283,797.0,261,1807.0,479,0.0,22,0.0,22,54.0,73,0.0,22,22.0,22,111.0,88,1774.0,367,16.0,19,1042.0,515,8.0,12,0.0,22,13.0,23,492.0,276,3675.0,624,0.0,22
"Anson County, North Carolina",0.0,25,0.0,25,43.0,32,110.0,155,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,158.0,109,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25
"Antelope County, Nebraska",5.0,7,0.0,15,8.0,9,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,8.0,13,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Antrim County, Michigan",12.0,11,0.0,20,9.0,11,24.0,21,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,4.0,5,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,10.0,10,0.0,20
"Apache County, Arizona",88.0,54,0.0,33,23.0,23,2.0,4,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,302.0,78,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,4.0,7,6.0,11,0.0,33
"Appanoose County, Iowa",0.0,16,0.0,16,54.0,49,38.0,48,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,19.0,42,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,3.0,6,0.0,16,0.0,16
"Appling County, Georgia",46.0,88,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,69.0,78,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23
"Appomattox County, Virginia",10.0,17,0.0,21,49.0,83,34.0,46,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,5.0,8,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Aransas County, Texas",0.0,28,0.0,28,52.0,60,187.0,173,0.0,28,0.0,28,7.0,9,0.0,28,0.0,28,0.0,28,134.0,145,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,96.0,100,0.0,28
"Arapahoe County, Colorado",8619.0,977,83.0,81,3962.0,662,8382.0,1118,317.0,173,11.0,13,424.0,162,0.0,31,869.0,371,984.0,359,7242.0,1021,1090.0,379,611.0,394,56.0,48,0.0,31,165.0,152,747.0,252,7566.0,1019,0.0,31
"Archer County, Texas",0.0,21,0.0,21,0.0,21,6.0,12,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,17.0,28,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Archuleta County, Colorado",19.0,32,0.0,21,47.0,55,0.0,21,40.0,53,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Arecibo Municipio, Puerto Rico",39.0,61,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,6.0,9,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35
"Arenac County, Michigan",10.0,13,19.0,19,54.0,30,24.0,24,0.0,17,0.0,17,0.0,17,0.0,17,2.0,3,0.0,17,25.0,22,4.0,10,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17
"Arkansas County, Arkansas",11.0,18,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Arlington County, Virginia",6721.0,738,25.0,41,1826.0,336,3322.0,469,1305.0,481,0.0,31,317.0,113,0.0,31,171.0,141,244.0,107,3082.0,595,413.0,250,79.0,65,49.0,42,116.0,159,50.0,39,607.0,225,2150.0,455,0.0,31
"Armstrong County, Pennsylvania",194.0,44,0.0,27,21.0,18,18.0,16,0.0,27,2.0,5,0.0,27,0.0,27,0.0,27,0.0,27,12.0,14,1.0,2,0.0,27,14.0,20,0.0,27,0.0,27,19.0,26,34.0,29,0.0,27
"Armstrong County, Texas",22.0,22,0.0,15,0.0,15,1.0,2,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Aroostook County, Maine",75.0,62,0.0,26,147.0,68,71.0,38,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,92.0,35,8.0,13,0.0,26,0.0,26,0.0,26,0.0,26,59.0,36,38.0,42,0.0,26
"Arroyo Municipio, Puerto Rico",0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Arthur County, Nebraska",0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,2.0,5,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Ascension Parish, Louisiana",274.0,157,0.0,33,220.0,136,118.0,116,0.0,33,0.0,33,64.0,100,0.0,33,0.0,33,0.0,33,637.0,280,0.0,33,16.0,34,0.0,33,0.0,33,0.0,33,63.0,76,443.0,261,0.0,33
"Ashe County, North Carolina",33.0,32,0.0,25,53.0,55,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,39.0,41,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,79.0,60,0.0,25
"Ashland County, Ohio",122.0,95,0.0,30,27.0,40,64.0,78,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,178.0,157,117.0,113,0.0,30,34.0,60,0.0,30,0.0,30,0.0,30,40.0,59,21.0,29,0.0,30
"Ashland County, Wisconsin",26.0,20,12.0,20,3.0,5,10.0,10,6.0,8,12.0,15,0.0,16,0.0,16,6.0,10,0.0,16,10.0,15,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
"Ashley County, Arkansas",10.0,12,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,13.0,13,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,1.0,2,0.0,20
"Ashtabula County, Ohio",65.0,72,0.0,30,145.0,93,58.0,51,0.0,30,0.0,30,13.0,21,0.0,30,0.0,30,10.0,17,149.0,117,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,32.0,37,77.0,98,0.0,30
"Asotin County, Washington",25.0,30,0.0,25,0.0,25,72.0,57,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,252.0,68,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,3.0,18,14.0,22,0.0,25
"Assumption Parish, Louisiana",0.0,26,0.0,26,0.0,26,9.0,18,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,118.0,146,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,140.0,199,0.0,26
"Atascosa County, Texas",16.0,36,0.0,35,0.0,35,32.0,65,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,115.0,91,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,9.0,25,0.0,35
"Atchison County, Kansas",60.0,67,0.0,18,19.0,21,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,137.0,52,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,20.0,33,11.0,22,0.0,18
"Atchison County, Missouri",0.0,17,0.0,17,2.0,4,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,4.0,6,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,5.0,17,0.0,17
"Athens County, Ohio",547.0,249,0.0,30,103.0,77,264.0,189,0.0,30,0.0,30,11.0,30,0.0,30,0.0,30,24.0,30,206.0,151,86.0,116,0.0,30,0.0,30,0.0,30,1.0,4,121.0,78,449.0,294,0.0,30
