County,B02018_002E,B02018_002M,B02018_003E,B02018_003M,B02018_004E,B02018_004M,B02018_005E,B02018_005M,B02018_006E,B02018_006M,B02018_007E,B02018_007M,B02018_008E,B02018_008M,B02018_009E,B02018_009M,B02018_011E,B02018_011M,B02018_012E,B02018_012M,B02018_013E,B02018_013M,B02018_014E,B02018_014M,B02018_015E,B02018_015M,B02018_016E,B02018_016M,B02018_017E,B02018_017M,B02018_018E,B02018_018M,B02018_019E,B02018_019M,B02018_020E,B02018_020M,B02018_021E,B02018_021M
"Lassen County, California",179.0,115,16.0,30,110.0,84,56.0,74,0.0,29,6.0,9,0.0,29,0.0,29,0.0,29,60.0,80,263.0,108,38.0,60,0.0,29,0.0,29,38.0,60,0.0,29,0.0,29,50.0,37,0.0,29
"Latah County, Idaho",253.0,129,0.0,26,196.0,115,308.0,147,0.0,26,0.0,26,50.0,61,0.0,26,0.0,26,0.0,26,287.0,109,0.0,26,0.0,26,15.0,29,0.0,26,0.0,26,117.0,108,162.0,139,0.0,26
"Latimer County, Oklahoma",0.0,15,0.0,15,2.0,4,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,9.0,11,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,13.0,20,72.0,42,0.0,15
"Lauderdale County, Alabama",185.0,105,0.0,31,174.0,107,81.0,90,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,23.0,35,246.0,150,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,81.0,83,0.0,31
"Lauderdale County, Mississippi",90.0,72,0.0,33,34.0,36,11.0,18,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,51.0,76,134.0,86,0.0,33,32.0,51,0.0,33,0.0,33,0.0,33,89.0,89,60.0,51,0.0,33
"Lauderdale County, Tennessee",39.0,46,0.0,25,39.0,56,9.0,13,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,18.0,22,0.0,25,123.0,67,0.0,25,0.0,25,0.0,25,0.0,25,9.0,13,0.0,25
"Laurel County, Kentucky",248.0,136,0.0,30,38.0,44,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,37.0,71,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,30.0,46,31.0,52,0.0,30
"Laurens County, Georgia",57.0,60,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,8.0,14,0.0,30,0.0,30,0.0,30,217.0,190,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30
"Laurens County, South Carolina",69.0,53,46.0,72,0.0,33,91.0,100,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,5.0,10,97.0,83,0.0,33,23.0,33,0.0,33,0.0,33,0.0,33,50.0,50,48.0,58,0.0,33
"Lavaca County, Texas",23.0,29,0.0,28,19.0,25,3.0,5,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,24.0,36,75.0,50,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,3.0,5,0.0,28
"Lawrence County, Alabama",0.0,28,0.0,28,32.0,31,73.0,73,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,44.0,65,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,67.0,73,0.0,28
"Lawrence County, Arkansas",0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,34.0,39,1.0,3,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Lawrence County, Illinois",43.0,78,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,17.0,30,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,14.0,20,0.0,19
"Lawrence County, Indiana",3.0,6,0.0,27,6.0,11,65.0,67,0.0,27,14.0,23,6.0,10,0.0,27,0.0,27,0.0,27,28.0,42,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,77.0,75,14.0,29
"Lawrence County, Kentucky",30.0,25,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,160.0,128,0.0,20,0.0,20,0.0,20
"Lawrence County, Mississippi",0.0,22,0.0,22,3.0,6,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,41.0,38,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,19.0,35,0.0,22
"Lawrence County, Missouri",0.0,25,0.0,25,0.0,25,23.0,35,0.0,25,0.0,25,16.0,29,0.0,25,38.0,58,0.0,25,178.0,125,16.0,34,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,5.0,9,0.0,25
"Lawrence County, Ohio",59.0,72,28.0,46,0.0,30,89.0,115,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,49.0,64,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,165.0,157,16.0,30,0.0,30
"Lawrence County, Pennsylvania",168.0,101,0.0,27,30.0,26,114.0,73,0.0,27,17.0,24,0.0,27,0.0,27,0.0,27,0.0,27,273.0,138,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,12.0,19,79.0,66,0.0,27
"Lawrence County, South Dakota",90.0,99,0.0,19,9.0,45,40.0,71,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,256.0,128,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,81.0,107,0.0,19,0.0,19
"Lawrence County, Tennessee",60.0,82,0.0,29,17.0,27,76.0,77,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,24.0,33,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,16.0,27,0.0,29
"Le Flore County, Oklahoma",20.0,20,74.0,59,75.0,54,89.0,95,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,137.0,70,0.0,22,107.0,54,0.0,22,0.0,22,0.0,22,10.0,14,89.0,59,0.0,22
"Le Sueur County, Minnesota",11.0,11,36.0,40,69.0,47,43.0,41,0.0,17,0.0,17,6.0,8,0.0,17,0.0,17,0.0,17,27.0,24,0.0,17,13.0,18,0.0,17,0.0,17,0.0,17,11.0,17,6.0,8,0.0,17
