,GEOIDFQ,B02018_017E,B02018_018E,B02018_015E,B02018_016E,B02018_019E,B02018_012E,B02018_013E,B02018_014E,B02018_010E,B02018_011E,B02018_005E,B02018_006E,B02018_003E,B02018_004E,B02018_009E,B02018_007E,B02018_008E,B02018_002E,B02018_020E
240,0500000US06107,0,201,0,762,874,7990,201,1833,0,203,1086,60,1643,1519,0,0,11,2257,0
241,0500000US06109,0,4,0,6,61,518,16,0,0,7,118,0,82,449,0,0,9,234,0
242,0500000US06111,25,952,43,92,5953,26992,960,148,75,918,6256,73,166,9468,0,73,1147,14868,0
243,0500000US06113,19,479,40,214,2872,7227,159,319,125,670,2758,44,304,3025,0,0,626,13809,41
244,0500000US06115,0,65,0,0,473,1355,25,88,0,38,137,0,3975,553,0,0,53,888,0
245,0500000US08001,0,594,35,0,5449,4119,357,600,1283,649,2476,0,2517,2206,0,0,131,4303,0
246,0500000US08003,0,20,0,0,18,33,0,0,0,0,56,0,0,22,0,0,0,23,0
247,0500000US08005,165,747,56,0,7566,7242,1090,611,869,984,8382,317,83,3962,0,11,424,8619,0
248,0500000US08007,0,0,0,0,0,0,0,0,0,0,0,40,0,47,0,0,0,19,0
249,0500000US08009,0,0,0,0,54,33,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0500000US08011,0,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,0,0
251,0500000US08013,0,360,35,0,1182,2230,133,30,48,426,2178,0,302,2728,0,20,405,6099,0
252,0500000US08014,6,75,53,0,741,981,82,77,0,96,517,54,64,508,0,0,4,1422,0
253,0500000US08015,9,15,0,0,84,0,0,0,0,0,104,0,17,7,0,0,0,15,0
254,0500000US08017,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
255,0500000US08019,0,6,0,0,2,55,45,0,0,0,25,0,0,0,0,0,0,23,0
256,0500000US08021,0,0,0,0,21,2,0,0,0,0,15,0,0,7,0,0,0,0,0
257,0500000US08023,0,6,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0
258,0500000US08025,0,0,0,0,200,50,0,0,0,0,12,0,0,4,0,0,0,0,0
259,0500000US08027,0,0,0,0,8,25,0,0,0,0,0,0,0,18,0,0,0,0,0
260,0500000US08029,0,50,0,0,40,139,0,0,119,0,0,0,0,29,0,0,35,5,0
261,0500000US08031,24,724,186,0,7183,5088,583,251,242,816,4261,627,78,3682,0,8,528,7305,0
